firstname,lastname,password,username,email
DODO MULYONO,IF,01/01/2001,20190801111,DODOMULYONO@GMAIL.COM
ARIANA GRANDE,IF,02/02/2001,20190801222,ARIANAGRANDE@GMAIL.COM
CHRIS MARTIN,IF,03/03/2001,20190801333,CHRISMARTIN@GMAIL.COM
DINDA KIRANA,IF,04/04/2001,20190801444,DINDAKIRANA@GMAIL.COM
ADISYAH RIZKIA,IF,05/05/2001,20190801555,ADISYAHRIZKIA@GMAIL.COM
ROY KIMOCHI,IF,06/06/2001,20190801666,ROYKIMOCHI@GMAIL.COM
DADANG NOM,IF,07/07/2001,20190801777,DADANGNOM@GMAIL.COM
NAUFAL TAUFIQURRAHMAN,IF,08/08/2001,20190801888,NAUFALTQ@GMAIL.COM
LALA LILI,IF,09/09/2001,20190801999,LALALILI@GMAIL.COM
FEBI RAHMA,IF,10/10/2001,20190801000,FEBIRAHMA@GMAIL.COM
